species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus,5.265 XC,EDBJR 22365,Santa Lucia,south_bay,NA,F,adult,58.2,49.8,NA,0.8496,17,WT,WT
Thamnophis atratus,5.271,EDBJR 22369,Santa Lucia,south_bay,NA,NA,adult,50.5,52.5,NA,0.7849,500,EPN,EPN
Thamnophis atratus,5.61,EDBJR 21656,Molino Creek,south_bay,NA,NA,neonate,4.3,19.6,NA,0.4125,100,EPN,EPN
Thamnophis atratus,5.82,EDBJR 21606,Smith River,nor_coast,NA,NA,adult,27.8,44.3,NA,0.7479,4.2,WT,WT
Thamnophis atratus,5.83,EDBJR 21607,Smith River,nor_coast,NA,NA,adult,27.8,41.9,NA,0.6562,4,WT,WT
Thamnophis atratus,5.84,EDBJR 21608,Smith River,nor_coast,NA,NA,neonate,3.3,21,NA,0.4297,3.1,WT,WT
Thamnophis atratus,5.85,EDBJR 21609,Smith River,nor_coast,NA,NA,neonate,3.3,20.2,NA,0.4429,4.5,WT,WT
Thamnophis atratus,6.002,EDBJR 22371,Pillar Point Harbor,south_bay,NA,NA,adult,26.8,34.8,NA,0.6959,250,EPN,EPN
Thamnophis atratus,6.24,EDBJR 23277,Santa Lucia,south_bay,NA,F,adult,72.5,49.3,NA,0.7042,5,WT,WT
Thamnophis atratus,6.242,EDBJR 23279,Santa Lucia,south_bay,NA,F,adult,59.8,50.5,NA,0.7634,12.5,WT,WT
Thamnophis atratus,6.244,EDBJR 23282,Santa Lucia,south_bay,NA,F,adult,59.6,41.8,NA,0.7133,2.3,WT,WT
Thamnophis atratus,6.245,NA,Santa Lucia,south_bay,NA,NA,adult,76,52,NA,0.8525,21.5,EPN,EPN
Thamnophis atratus,6.249,EDBJR 23280,Santa Lucia,south_bay,NA,F,adult,64.9,52.2,NA,0.8163,13.5,WT,WT
Thamnophis atratus,6.25,NA,Santa Lucia,south_bay,NA,NA,adult,177.2,64.3,NA,0.677,2.1,WT,WT
Thamnophis atratus,6.252,NA,Santa Lucia,south_bay,NA,NA,adult,68.1,53,NA,0.6498,100,EPN,EPN
Thamnophis atratus,6.256,NA,Santa Lucia,south_bay,NA,NA,adult,66.4,50.4,NA,0.7547,250,EPN,EPN
